date,EUR,GBP
2022-12-30,0.93756,0.83155
2023-01-02,0.93607,0.82964
2023-01-03,0.94832,0.83497
2023-01-04,0.94349,0.83098
2023-01-05,0.94331,0.83297
2023-01-06,0.95238,0.84262
2023-01-09,0.93493,0.82319
2023-01-10,0.93257,0.82374
2023-01-11,0.93049,0.8251
2023-01-12,0.92833,0.82334
2023-01-13,0.92473,0.82116
2023-01-16,0.9249,0.82092
2023-01-17,0.92225,0.81707
2023-01-18,0.92259,0.80755
2023-01-19,0.92464,0.81043
2023-01-20,0.9237,0.80916
2023-01-23,0.91988,0.80922
2023-01-24,0.92098,0.81385
2023-01-25,0.91929,0.81125
2023-01-26,0.91785,0.80721
2023-01-27,0.92039,0.80888
2023-01-30,0.91718,0.80692
2023-01-31,0.92311,0.81301
2023-02-01,0.91794,0.81158
2023-02-02,0.91008,0.8126
2023-02-03,0.91433,0.81604
2023-02-06,0.92799,0.82849
2023-02-07,0.93458,0.83493
2023-02-08,0.93153,0.8272
2023-02-09,0.92842,0.82179
2023-02-10,0.93545,0.82645
2023-02-13,0.9358,0.82614
2023-02-14,0.92945,0.81908
2023-02-15,0.93458,0.83014
2023-02-16,0.93458,0.83068
2023-02-17,0.94118,0.83659
2023-02-20,0.93686,0.83135
2023-02-21,0.93773,0.8245
2023-02-22,0.9395,0.82624
2023-02-23,0.94197,0.83026
2023-02-24,0.94607,0.83486
2023-02-27,0.94751,0.8345
2023-02-28,0.94171,0.82589
2023-03-01,0.93598,0.82903
2023-03-02,0.94295,0.8372
2023-03-03,0.94206,0.83401
2023-03-06,0.93932,0.83252
2023-03-07,0.93765,0.83421
2023-03-08,0.94832,0.8447
2023-03-09,0.94751,0.84152
2023-03-10,0.94464,0.83372
2023-03-13,0.93406,0.82542
2023-03-14,0.93136,0.8201
2023-03-15,0.94796,0.82703
2023-03-16,0.94384,0.82888
2023-03-17,0.94135,0.82357
2023-03-20,0.9331,0.81702
2023-03-21,0.92799,0.81694
2023-03-22,0.92721,0.81525
2023-03-23,0.9192,0.81371
2023-03-24,0.93067,0.81843
2023-03-27,0.92825,0.81517
2023-03-28,0.92242,0.81116
2023-03-29,0.92191,0.81117
2023-03-30,0.91861,0.80988
2023-03-31,0.91954,0.80846
2023-04-03,0.91996,0.80764
2023-04-04,0.91735,0.80115
2023-04-05,0.91408,0.80151
2023-04-06,0.91617,0.8016
2023-04-11,0.91701,0.80457
2023-04-12,0.91558,0.80606
2023-04-13,0.90785,0.79944
2023-04-14,0.9044,0.79986
2023-04-17,0.91066,0.80478
2023-04-18,0.91141,0.80334
2023-04-19,0.91466,0.80589
2023-04-20,0.91374,0.80549
2023-04-21,0.91091,0.8068
2023-04-24,0.90893,0.80406
2023-04-25,0.90728,0.80426
2023-04-26,0.90588,0.80225
2023-04-27,0.90563,0.80083
2023-04-28,0.91066,0.80184
2023-05-02,0.91199,0.80135
2023-05-03,0.90555,0.79928
2023-05-04,0.90302,0.79479
2023-05-05,0.90794,0.79334
2023-05-08,0.90604,0.79032
2023-05-09,0.91249,0.79378
2023-05-10,0.91324,0.79281
2023-05-11,0.91491,0.7941
2023-05-12,0.91811,0.79893
2023-05-15,0.91946,0.7994
2023-05-16,0.91903,0.79899
2023-05-17,0.92345,0.80243
2023-05-18,0.92481,0.80357
2023-05-19,0.92524,0.80348
2023-05-22,0.92404,0.80249
2023-05-23,0.92773,0.80706
2023-05-24,0.92721,0.80661
2023-05-25,0.93153,0.8085
2023-05-26,0.93015,0.80749
2023-05-29,0.93327,0.81013
2023-05-30,0.93075,0.80384
2023-05-31,0.93607,0.80881
2023-06-01,0.93484,0.80231
2023-06-02,0.92911,0.79838
2023-06-05,0.93545,0.80751
2023-06-06,0.93607,0.80598
2023-06-07,0.9331,0.80218
2023-06-08,0.93136,0.80202
2023-06-09,0.92764,0.79587
2023-06-12,0.92894,0.79589
2023-06-13,0.92653,0.79542
2023-06-14,0.92515,0.79059
2023-06-15,0.9243,0.79078
2023-06-16,0.91191,0.77903
2023-06-19,0.91558,0.7807
2023-06-20,0.91466,0.78391
2023-06-21,0.9155,0.78575
2023-06-22,0.91033,0.78393
2023-06-23,0.91878,0.78536
2023-06-26,0.91592,0.78657
2023-06-27,0.91316,0.78523
2023-06-28,0.91424,0.79009
2023-06-29,0.91424,0.78991
2023-06-30,0.9203,0.78988
2023-07-03,0.91752,0.78888
2023-07-04,0.91785,0.78635
2023-07-05,0.9192,0.78762
2023-07-06,0.91752,0.78273
2023-07-07,0.91844,0.78341
2023-07-10,0.91274,0.78252
2023-07-11,0.91,0.7745
2023-07-12,0.90728,0.77461
2023-07-13,0.89429,0.7651
2023-07-14,0.89119,0.76277
2023-07-17,0.89047,0.76467
2023-07-18,0.88849,0.76267
2023-07-19,0.89111,0.77453
2023-07-20,0.8931,0.77628
2023-07-21,0.89904,0.77952
2023-07-24,0.90123,0.77821
2023-07-25,0.9049,0.77955
2023-07-26,0.90424,0.77489
2023-07-27,0.89888,0.772
2023-07-28,0.90827,0.77711
2023-07-31,0.90719,0.77805
2023-08-01,0.91158,0.78273
2023-08-02,0.91033,0.78323
2023-08-03,0.91475,0.79096
2023-08-04,0.91358,0.78744
2023-08-07,0.91042,0.78444
2023-08-08,0.91374,0.78726
2023-08-09,0.91174,0.78574
2023-08-10,0.90752,0.78331
2023-08-11,0.90876,0.78531
2023-08-14,0.91491,0.78879
2023-08-15,0.91525,0.7867
2023-08-16,0.91609,0.78458
2023-08-17,0.91743,0.78344
2023-08-18,0.92022,0.78672
2023-08-21,0.91676,0.7836
2023-08-22,0.91853,0.78339
2023-08-23,0.9255,0.79272
2023-08-24,0.92251,0.79013
2023-08-25,0.92524,0.7924
2023-08-28,0.92524,0.794
2023-08-29,0.92567,0.79478
2023-08-30,0.91861,0.78927
2023-08-31,0.92013,0.78872
2023-09-01,0.92217,0.7888
2023-09-04,0.92584,0.79206
2023-09-05,0.93188,0.79708
2023-09-06,0.93067,0.79575
2023-09-07,0.93371,0.80205
2023-09-08,0.93423,0.80096
2023-09-11,0.93249,0.79868
2023-09-12,0.93345,0.80206
2023-09-13,0.93171,0.80211
2023-09-14,0.93197,0.80144
2023-09-15,0.93826,0.80576
2023-09-18,0.93782,0.80785
2023-09-19,0.93345,0.80522
2023-09-20,0.9344,0.80854
2023-09-21,0.94029,0.81535
2023-09-22,0.93923,0.81521
2023-09-25,0.94047,0.81788
2023-09-26,0.94295,0.82056
2023-09-27,0.94913,0.82394
2023-09-28,0.94886,0.81918
2023-09-29,0.94393,0.8161
2023-10-02,0.94967,0.82268
2023-10-03,0.9552,0.82888
2023-10-04,0.95265,0.82488
2023-10-05,0.95003,0.82277
2023-10-06,0.9467,0.81899
2023-10-09,0.94958,0.82157
2023-10-10,0.945,0.81639
2023-10-11,0.94304,0.81351
2023-10-12,0.94171,0.81232
2023-10-13,0.95021,0.82112
2023-10-16,0.94895,0.82127
2023-10-17,0.94616,0.82146
2023-10-18,0.94652,0.81978
2023-10-19,0.94715,0.82495
2023-10-20,0.9442,0.82346
2023-10-23,0.94366,0.82243
2023-10-24,0.94056,0.81852
2023-10-25,0.94554,0.82489
2023-10-26,0.94877,0.82704
2023-10-27,0.94868,0.82557
2023-10-30,0.94295,0.82362
2023-10-31,0.94171,0.82273
2023-11-01,0.94904,0.82514
2023-11-02,0.938,0.81892
2023-11-03,0.9344,0.81277
2023-11-06,0.93101,0.80663
2023-11-07,0.9358,0.81279
2023-11-08,0.93712,0.81543
2023-11-09,0.93537,0.81569
2023-11-10,0.93607,0.81845
2023-11-13,0.93721,0.81682
2023-11-14,0.93249,0.81341
2023-11-15,0.92013,0.80225
2023-11-16,0.92174,0.80671
2023-11-17,0.91979,0.80385
2023-11-20,0.91508,0.80189
2023-11-21,0.91283,0.79713
2023-11-22,0.91651,0.79764
2023-11-23,0.91743,0.79761
2023-11-24,0.91609,0.79533
2023-11-27,0.91316,0.79144
2023-11-28,0.91333,0.79295
2023-11-29,0.91033,0.78766
2023-11-30,0.91483,0.79012
2023-12-01,0.91954,0.79122
2023-12-04,0.92013,0.78938
2023-12-05,0.92447,0.79248
2023-12-06,0.92782,0.7943
2023-12-07,0.92842,0.79612
2023-12-08,0.9279,0.79512
2023-12-11,0.92963,0.79557
2023-12-12,0.92558,0.79534
2023-12-13,0.92704,0.79837
2023-12-14,0.91583,0.78721
2023-12-15,0.91358,0.78415
2023-12-18,0.91592,0.7901
2023-12-19,0.91224,0.7854
2023-12-20,0.91374,0.79089
2023-12-21,0.9105,0.79036
2023-12-22,0.90719,0.78617
2023-12-27,0.90375,0.78473
2023-12-28,0.89977,0.78334
2023-12-29,0.90498,0.78647
